method,budget,seed,CalotTriangleDissection,CleaningCoagulation,ClippingCutting,GallbladderDissection,GallbladderExtraction,GallbladderPackaging,Preparation
vision,0.05,1,0.5797101449275363,0.07692307692307693,0.5626515763945028,0.23809523809523808,0.24528301886792453,0.23853211009174313,0.35856573705179284
vision,0.05,2,0.5863613738178198,0.061068702290076333,0.5862068965517241,0.17656500802568217,0.24528301886792453,0.3153526970954357,0.35772357723577236
vision,0.05,3,0.5759268664296597,0.0,0.5252707581227437,0.2877871825876663,0.3902439024390244,0.25906735751295334,0.2727272727272727
vision,0.05,4,0.5335589396503102,0.11594202898550725,0.5541195476575121,0.2888086642599278,0.26785714285714285,0.25120772946859904,0.2909090909090909
vision,0.1,0,0.5943255350920856,0.09271523178807947,0.5980392156862745,0.22439024390243903,0.25688073394495414,0.2159090909090909,0.32413793103448274
vision,0.1,1,0.5508162190626645,0.09615384615384616,0.5933456561922366,0.27901785714285715,0.47244094488188976,0.3350253807106599,0.26765799256505574
vision,0.1,2,0.5958055290753098,0.10101010101010101,0.5852842809364549,0.2222222222222222,0.5190839694656488,0.33519553072625696,0.3194888178913738
vision,0.1,3,0.6191352345906164,0.08928571428571429,0.5620253164556962,0.1807909604519774,0.4297520661157025,0.3778801843317972,0.3418803418803419
vision,0.1,4,0.5436590436590436,0.06382978723404255,0.5830508474576271,0.25,0.4262295081967213,0.36649214659685864,0.3193916349809886
multimodal,0.05,0,0.5699797160243407,0.028985507246376812,0.5789043336058871,0.2870662460567823,0.4496124031007752,0.3761467889908257,0.3384615384615385
multimodal,0.05,1,0.5250412768299395,0.09195402298850575,0.5629370629370629,0.2912621359223301,0.43410852713178294,0.35797665369649806,0.3291139240506329
multimodal,0.05,2,0.5532128514056225,0.06722689075630252,0.5686274509803921,0.2368,0.3709677419354839,0.32075471698113206,0.302158273381295
multimodal,0.05,3,0.5513227513227513,0.06896551724137931,0.560352422907489,0.2860576923076923,0.5185185185185185,0.34782608695652173,0.24113475177304963
multimodal,0.05,4,0.6102175969725638,0.07017543859649122,0.5465414175918019,0.21805792163543442,0.46875,0.19718309859154928,0.3319838056680162
multimodal,0.1,0,0.5753830944142363,0.11428571428571428,0.5960591133004927,0.2222222222222222,0.4462809917355372,0.2681564245810056,0.29133858267716534
multimodal,0.1,1,0.5120350109409191,0.1016949152542373,0.5820379965457686,0.2777777777777778,0.5413533834586466,0.36666666666666664,0.2525597269624573
multimodal,0.1,2,0.5463709677419355,0.10294117647058823,0.5634295713035871,0.2275449101796407,0.45925925925925926,0.35294117647058826,0.27218934911242604
multimodal,0.1,3,0.5704365079365079,0.0761904761904762,0.5631709331131296,0.21571648690292758,0.4580152671755725,0.44878048780487806,0.3424124513618677
multimodal,0.1,4,0.5326370757180157,0.0684931506849315,0.5910999160369438,0.2723521320495186,0.3968253968253968,0.24,0.2507836990595611
full,1.0,0,0.6567441860465116,0.3780487804878049,0.6256880733944954,0.2624113475177305,0.5074626865671642,0.6069651741293532,0.2952029520295203
